Time	 Point1PX	 Point1PY	 Point1PZ	 Point1FX	 Point1FY	 Point1FZ	 Rod1NAPX	 Rod1NAPY	 Rod1NAPZ	 Rod1NBPX	 Rod1NBPY	 Rod1NBPZ	 
(s)	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 
1.71	 0	 0	 -1.0679	 0	 0	 2.45255	 -1	 0	 -1	 1	 0	 -1	 
1.72	 0	 0	 -1.01879	 0	 0	 -0.40921	 -1	 0	 -1	 1	 0	 -1	 
1.73	 0	 0	 -0.894631	 0	 0	 -12.528	 -1	 0	 -1	 1	 0	 -1	 
1.74	 0	 0	 -1.19202	 0	 0	 69.8044	 -1	 0	 -1	 1	 0	 -1	 
1.75	 0	 0	 -0.721602	 0	 0	 -207.256	 -1	 0	 -1	 1	 0	 -1	 
1.76	 0	 0	 -1.36443	 0	 0	 444.512	 -1	 0	 -1	 1	 0	 -1	 
1.77	 0	 0	 -0.550655	 0	 0	 -796.19	 -1	 0	 -1	 1	 0	 -1	 
1.78	 0	 0	 -1.53266	 0	 0	 1257.99	 -1	 0	 -1	 1	 0	 -1	 
1.79	 0	 0	 -0.386946	 0	 0	 -1817.52	 -1	 0	 -1	 1	 0	 -1	 
1.8	 0	 0	 -1.68967	 0	 0	 2448.02	 -1	 0	 -1	 1	 0	 -1	 
1.81	 0	 0	 -0.239272	 0	 0	 -3116.25	 -1	 0	 -1	 1	 0	 -1	 
1.82	 0	 0	 -1.82523	 0	 0	 3784.27	 -1	 0	 -1	 1	 0	 -1	 
1.83	 0	 0	 -0.118781	 0	 0	 -4411.01	 -1	 0	 -1	 1	 0	 -1	 
1.84	 0	 0	 -1.92788	 0	 0	 4961.05	 -1	 0	 -1	 1	 0	 -1	 
1.85	 0	 0	 -0.0365889	 0	 0	 -5398.2	 -1	 0	 -1	 1	 0	 -1	 
1.86	 0	 0	 -1.98749	 0	 0	 5699.92	 -1	 0	 -1	 1	 0	 -1	 
1.87	 0	 0	 -0.0011921	 0	 0	 -5843.95	 -1	 0	 -1	 1	 0	 -1	 
1.88	 0	 0	 -1.9977	 0	 0	 5826.21	 -1	 0	 -1	 1	 0	 -1	 
1.89	 0	 0	 -0.0164537	 0	 0	 -5643.17	 -1	 0	 -1	 1	 0	 -1	 
1.9	 0	 0	 -1.95739	 0	 0	 5310.2	 -1	 0	 -1	 1	 0	 -1	 
1.91	 0	 0	 -0.0806934	 0	 0	 -4843.14	 -1	 0	 -1	 1	 0	 -1	 
1.92	 0	 0	 -1.87093	 0	 0	 4273.62	 -1	 0	 -1	 1	 0	 -1	 
1.93	 0	 0	 -0.187083	 0	 0	 -3633.08	 -1	 0	 -1	 1	 0	 -1	 
1.94	 0	 0	 -1.7472	 0	 0	 2962.05	 -1	 0	 -1	 1	 0	 -1	 
1.95	 0	 0	 -0.325263	 0	 0	 -2299.01	 -1	 0	 -1	 1	 0	 -1	 
1.96	 0	 0	 -1.59743	 0	 0	 1681.86	 -1	 0	 -1	 1	 0	 -1	 
1.97	 0	 0	 -0.483779	 0	 0	 -1143.32	 -1	 0	 -1	 1	 0	 -1	 
1.98	 0	 0	 -1.43264	 0	 0	 705.106	 -1	 0	 -1	 1	 0	 -1	 
