      Time        POINT1PX        POINT1PY        POINT1PZ        POINT1FX        POINT1FY        POINT1FZ        ROD1NAPX        ROD1NAPY        ROD1NAPZ        ROD1NBPX        ROD1NBPY        ROD1NBPZ
       (s)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)
    3.0600   0.0000000E+00   0.0000000E+00  -1.0008855E+00   0.0000000E+00   0.0000000E+00  -2.6784286E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0700   0.0000000E+00   0.0000000E+00  -1.0022757E+00   0.0000000E+00   0.0000000E+00   8.3961327E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0800   0.0000000E+00   0.0000000E+00  -1.0022920E+00   0.0000000E+00   0.0000000E+00   8.5922050E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0900   0.0000000E+00   0.0000000E+00  -1.0009151E+00   0.0000000E+00   0.0000000E+00  -2.7004768E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1000   0.0000000E+00   0.0000000E+00  -9.9985790E-01   0.0000000E+00   0.0000000E+00  -3.4371872E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1100   0.0000000E+00   0.0000000E+00  -9.9942660E-01   0.0000000E+00   0.0000000E+00  -3.6088360E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1200   0.0000000E+00   0.0000000E+00  -9.9964428E-01   0.0000000E+00   0.0000000E+00  -3.4575512E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1300   0.0000000E+00   0.0000000E+00  -1.0004938E+00   0.0000000E+00   0.0000000E+00  -3.2653206E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1400   0.0000000E+00   0.0000000E+00  -1.0018579E+00   0.0000000E+00   0.0000000E+00   3.0425650E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1500   0.0000000E+00   0.0000000E+00  -1.0025221E+00   0.0000000E+00   0.0000000E+00   1.2620222E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1600   0.0000000E+00   0.0000000E+00  -1.0013859E+00   0.0000000E+00   0.0000000E+00  -8.1124392E+00  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1700   0.0000000E+00   0.0000000E+00  -1.0001659E+00   0.0000000E+00   0.0000000E+00  -3.4376686E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1800   0.0000000E+00   0.0000000E+00  -9.9954712E-01   0.0000000E+00   0.0000000E+00  -3.5152321E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.1900   0.0000000E+00   0.0000000E+00  -9.9956596E-01   0.0000000E+00   0.0000000E+00  -3.4987888E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2000   0.0000000E+00   0.0000000E+00  -1.0002198E+00   0.0000000E+00   0.0000000E+00  -3.3855671E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2100   0.0000000E+00   0.0000000E+00  -1.0014583E+00   0.0000000E+00   0.0000000E+00  -2.6631272E+00  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2200   0.0000000E+00   0.0000000E+00  -1.0025234E+00   0.0000000E+00   0.0000000E+00   1.2650373E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2300   0.0000000E+00   0.0000000E+00  -1.0017921E+00   0.0000000E+00   0.0000000E+00   2.2861500E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2400   0.0000000E+00   0.0000000E+00  -1.0004776E+00   0.0000000E+00   0.0000000E+00  -3.3413696E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2500   0.0000000E+00   0.0000000E+00  -9.9970102E-01   0.0000000E+00   0.0000000E+00  -3.4522259E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2600   0.0000000E+00   0.0000000E+00  -9.9955422E-01   0.0000000E+00   0.0000000E+00  -3.5078152E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2700   0.0000000E+00   0.0000000E+00  -1.0000415E+00   0.0000000E+00   0.0000000E+00  -3.4035732E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2800   0.0000000E+00   0.0000000E+00  -1.0011374E+00   0.0000000E+00   0.0000000E+00  -1.9013704E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.2900   0.0000000E+00   0.0000000E+00  -1.0023859E+00   0.0000000E+00   0.0000000E+00   1.0176738E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3000   0.0000000E+00   0.0000000E+00  -1.0020950E+00   0.0000000E+00   0.0000000E+00   5.7379349E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3100   0.0000000E+00   0.0000000E+00  -1.0007684E+00   0.0000000E+00   0.0000000E+00  -3.0035250E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3200   0.0000000E+00   0.0000000E+00  -9.9986452E-01   0.0000000E+00   0.0000000E+00  -3.4314983E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3300   0.0000000E+00   0.0000000E+00  -9.9958497E-01   0.0000000E+00   0.0000000E+00  -3.4914505E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3400   0.0000000E+00   0.0000000E+00  -9.9993652E-01   0.0000000E+00   0.0000000E+00  -3.4089558E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
