Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	
0.01241	 7.42201e-21	 0	 -19.5567	 5.8801e-21	 0	 -20.0568	 25571.1	 
0.01251	 6.72911e-21	 0	 -19.5711	 5.81324e-21	 0	 -20.0718	 336822	 
0.01261	 5.76647e-21	 0	 -19.5855	 5.74679e-21	 0	 -20.0866	 547278	 
0.01271	 4.42635e-21	 0	 -19.5999	 5.68032e-21	 0	 -20.101	 591791	 
0.01281	 2.55905e-21	 0	 -19.6142	 5.61295e-21	 0	 -20.1151	 463775	 
0.01291	 -4.17021e-23	 0	 -19.6285	 5.54393e-21	 0	 -20.1289	 214043	 
0.01301	 -3.65825e-21	 0	 -19.6428	 5.47372e-21	 0	 -20.1426	 0	 
0.01311	 -8.67457e-21	 0	 -19.657	 5.40345e-21	 0	 -20.1563	 0	 
0.01321	 -1.56106e-20	 0	 -19.6711	 5.33333e-21	 0	 -20.17	 0	 
0.01331	 -2.51682e-20	 0	 -19.6852	 5.26339e-21	 0	 -20.1838	 0	 
0.01341	 -3.82911e-20	 0	 -19.6992	 5.19369e-21	 0	 -20.1975	 0	 
0.01351	 -5.62431e-20	 0	 -19.7132	 5.1243e-21	 0	 -20.2113	 0	 
0.01361	 -8.07109e-20	 0	 -19.7272	 5.05527e-21	 0	 -20.225	 0	 
0.01371	 -1.13937e-19	 0	 -19.7411	 4.98665e-21	 0	 -20.2388	 0	 
0.01381	 -1.58891e-19	 0	 -19.755	 4.91845e-21	 0	 -20.2525	 0	 
0.01391	 -2.19494e-19	 0	 -19.7688	 4.85065e-21	 0	 -20.2663	 0	 
0.01401	 -3.00903e-19	 0	 -19.7826	 4.78317e-21	 0	 -20.2801	 0	 
0.01411	 -4.09874e-19	 0	 -19.7964	 4.71579e-21	 0	 -20.2938	 0	 
0.01421	 -5.55234e-19	 0	 -19.8101	 4.64813e-21	 0	 -20.3076	 0	 
0.01431	 -7.48469e-19	 0	 -19.8238	 4.57955e-21	 0	 -20.3214	 0	 
0.01441	 -1.00447e-18	 0	 -19.8375	 4.50901e-21	 0	 -20.3351	 0	 
0.01451	 -1.3425e-18	 0	 -19.8511	 4.43492e-21	 0	 -20.3489	 0	 
0.01461	 -1.78733e-18	 0	 -19.8646	 4.35488e-21	 0	 -20.3626	 0	 
0.01471	 -2.3708e-18	 0	 -19.8782	 4.26535e-21	 0	 -20.3764	 0	 
0.01481	 -3.13361e-18	 0	 -19.8917	 4.16122e-21	 0	 -20.3901	 0	 
0.01491	 -4.12763e-18	 0	 -19.9051	 4.0352e-21	 0	 -20.4039	 0	 
0.01501	 -5.41876e-18	 0	 -19.9185	 3.877e-21	 0	 -20.4176	 0	 
0.01511	 -7.09043e-18	 0	 -19.9319	 3.67228e-21	 0	 -20.4313	 0	 
0.01521	 -9.24785e-18	 0	 -19.9453	 3.40125e-21	 0	 -20.445	 0	 
0.01531	 -1.20233e-17	 0	 -19.9586	 3.00866e-21	 0	 -20.4587	 71800.4	 
0.01541	 -1.55823e-17	 0	 -19.9718	 1.0455e-21	 0	 -20.4724	 263814	 
0.01551	 -2.01313e-17	 0	 -19.9851	 -6.35988e-21	 0	 -20.4858	 382710	 
0.01561	 -2.59278e-17	 0	 -19.9983	 -2.33959e-20	 0	 -20.499	 392736	 
0.01571	 -3.32912e-17	 0	 -20.0115	 -5.26867e-20	 0	 -20.512	 296078	 
0.01581	 -4.26167e-17	 0	 -20.0246	 -9.33261e-20	 0	 -20.5249	 130004	 
0.01591	 -5.43902e-17	 0	 -20.0377	 -1.39686e-19	 0	 -20.5376	 0	 
0.01601	 -6.92064e-17	 0	 -20.0508	 -1.8611e-19	 0	 -20.5504	 0	 
0.01611	 -8.77896e-17	 0	 -20.0638	 -2.32085e-19	 0	 -20.5631	 0	 
0.01621	 -1.11021e-16	 0	 -20.0767	 -2.77612e-19	 0	 -20.5759	 0	 
0.01631	 -1.39967e-16	 0	 -20.0896	 -3.22712e-19	 0	 -20.5887	 0	 
0.01641	 -1.75917e-16	 0	 -20.1025	 -3.67442e-19	 0	 -20.6014	 0	 
0.01651	 -2.20417e-16	 0	 -20.1153	 -4.119e-19	 0	 -20.6142	 0	 
0.01661	 -2.75315e-16	 0	 -20.128	 -4.56248e-19	 0	 -20.627	 0	 
0.01671	 -3.42812e-16	 0	 -20.1408	 -5.00734e-19	 0	 -20.6398	 0	 
0.01681	 -4.25513e-16	 0	 -20.1535	 -5.45718e-19	 0	 -20.6525	 0	 
0.01691	 -5.26483e-16	 0	 -20.1661	 -5.91707e-19	 0	 -20.6653	 0	 
0.01701	 -6.49312e-16	 0	 -20.1788	 -6.39399e-19	 0	 -20.6781	 0	 
0.01711	 -7.98173e-16	 0	 -20.1913	 -6.89738e-19	 0	 -20.6908	 0	 
0.01721	 -9.77887e-16	 0	 -20.2039	 -7.43971e-19	 0	 -20.7036	 0	 
0.01731	 -1.19398e-15	 0	 -20.2164	 -8.03727e-19	 0	 -20.7163	 0	 
0.01741	 -1.45272e-15	 0	 -20.2288	 -8.96995e-19	 0	 -20.7291	 116004	 
0.0175	 -1.72785e-15	 0	 -20.24	 -1.17411e-18	 0	 -20.7405	 223044	 
0.0176	 -2.08767e-15	 0	 -20.2524	 -1.96156e-18	 0	 -20.753	 285757	 
0.0177	 -2.51273e-15	 0	 -20.2648	 -3.48516e-18	 0	 -20.7653	 272642	 
0.0178	 -3.0123e-15	 0	 -20.2772	 -5.82851e-18	 0	 -20.7775	 191900	 
0.0179	 -3.59626e-15	 0	 -20.2895	 -8.83713e-18	 0	 -20.7896	 73589.1	 
0.018	 -4.27478e-15	 0	 -20.3017	 -1.21233e-17	 0	 -20.8016	 0	 
0.0181	 -5.05795e-15	 0	 -20.3139	 -1.54061e-17	 0	 -20.8137	 0	 
0.0182	 -5.9552e-15	 0	 -20.3261	 -1.86723e-17	 0	 -20.8257	 0	 
0.0183	 -6.97463e-15	 0	 -20.3382	 -2.19254e-17	 0	 -20.8378	 0	 
0.0184	 -8.12196e-15	 0	 -20.3503	 -2.51701e-17	 0	 -20.8498	 0	 
0.0185	 -9.39913e-15	 0	 -20.3624	 -2.84123e-17	 0	 -20.8619	 0	 
0.0186	 -1.08025e-14	 0	 -20.3744	 -3.16598e-17	 0	 -20.8739	 0	 
