Time	 AnchTen1	 FairTen1	 
(s)	 (N)       	 (N)       	 
0.04301	 7.61353e+07	 7.58634e+07	 
0.04311	 7.61118e+07	 7.58395e+07	 
0.04321	 7.60856e+07	 7.5813e+07	 
0.04331	 7.60569e+07	 7.5784e+07	 
0.04341	 7.60255e+07	 7.57523e+07	 
0.04351	 7.59915e+07	 7.57181e+07	 
0.04361	 7.5955e+07	 7.56813e+07	 
0.04371	 7.59158e+07	 7.56419e+07	 
0.04381	 7.5874e+07	 7.56e+07	 
0.04391	 7.58297e+07	 7.55555e+07	 
0.04401	 7.57827e+07	 7.55085e+07	 
0.04411	 7.57332e+07	 7.54591e+07	 
0.04421	 7.56811e+07	 7.54071e+07	 
0.04431	 7.56264e+07	 7.53526e+07	 
0.04441	 7.55692e+07	 7.52957e+07	 
0.04451	 7.55095e+07	 7.52363e+07	 
0.04461	 7.54472e+07	 7.51746e+07	 
0.04471	 7.53823e+07	 7.51104e+07	 
0.04481	 7.5315e+07	 7.50439e+07	 
0.04491	 7.52452e+07	 7.4975e+07	 
0.04501	 7.5173e+07	 7.49038e+07	 
0.04511	 7.50983e+07	 7.48304e+07	 
0.04521	 7.50211e+07	 7.47547e+07	 
0.04531	 7.49416e+07	 7.46767e+07	 
0.04541	 7.48597e+07	 7.45966e+07	 
0.04551	 7.47755e+07	 7.45144e+07	 
0.04561	 7.4689e+07	 7.44301e+07	 
0.04571	 7.46002e+07	 7.43437e+07	 
0.04581	 7.45092e+07	 7.42553e+07	 
0.04591	 7.4416e+07	 7.41649e+07	 
0.04601	 7.43207e+07	 7.40727e+07	 
0.04611	 7.42233e+07	 7.39785e+07	 
0.04621	 7.41238e+07	 7.38826e+07	 
0.04631	 7.40222e+07	 7.37848e+07	 
0.04641	 7.39188e+07	 7.36854e+07	 
0.04651	 7.38134e+07	 7.35844e+07	 
0.04661	 7.37062e+07	 7.34817e+07	 
0.04671	 7.35972e+07	 7.33776e+07	 
0.04681	 7.34865e+07	 7.32719e+07	 
0.04691	 7.33742e+07	 7.31649e+07	 
0.04701	 7.32602e+07	 7.30566e+07	 
0.04711	 7.31447e+07	 7.2947e+07	 
0.04721	 7.30278e+07	 7.28362e+07	 
0.04731	 7.29095e+07	 7.27244e+07	 
0.04741	 7.27899e+07	 7.26115e+07	 
0.04751	 7.26691e+07	 7.24976e+07	 
0.04761	 7.25472e+07	 7.23829e+07	 
0.04771	 7.24242e+07	 7.22674e+07	 
0.04781	 7.23003e+07	 7.21511e+07	 
0.04791	 7.21754e+07	 7.20342e+07	 
0.04801	 7.20498e+07	 7.19167e+07	 
0.04811	 7.19235e+07	 7.17988e+07	 
0.04821	 7.17965e+07	 7.16804e+07	 
0.04831	 7.16691e+07	 7.15618e+07	 
0.04841	 7.15412e+07	 7.14429e+07	 
0.04851	 7.1413e+07	 7.13239e+07	 
0.04861	 7.12846e+07	 7.12048e+07	 
0.04871	 7.1156e+07	 7.10857e+07	 
0.04881	 7.10274e+07	 7.09667e+07	 
0.04891	 7.08989e+07	 7.08478e+07	 
0.04901	 7.07705e+07	 7.07293e+07	 
0.04911	 7.06424e+07	 7.0611e+07	 
0.04921	 7.05147e+07	 7.04932e+07	 
0.04931	 7.03874e+07	 7.03759e+07	 
0.04941	 7.02607e+07	 7.02591e+07	 
0.04951	 7.01346e+07	 7.0143e+07	 
0.04961	 7.00093e+07	 7.00276e+07	 
0.04971	 6.98848e+07	 6.9913e+07	 
0.04981	 6.97613e+07	 6.97993e+07	 
0.04991	 6.96387e+07	 6.96865e+07	 
0.05001	 6.95173e+07	 6.95747e+07	 
0.05011	 6.93971e+07	 6.9464e+07	 
0.05021	 6.92782e+07	 6.93544e+07	 
0.05031	 6.91606e+07	 6.9246e+07	 
0.05041	 6.90445e+07	 6.91388e+07	 
0.05051	 6.89299e+07	 6.9033e+07	 
0.05061	 6.88168e+07	 6.89285e+07	 
0.05071	 6.87055e+07	 6.88255e+07	 
0.05081	 6.85959e+07	 6.8724e+07	 
0.05091	 6.84881e+07	 6.86239e+07	 
0.05101	 6.83821e+07	 6.85255e+07	 
0.05111	 6.82781e+07	 6.84286e+07	 
0.05121	 6.8176e+07	 6.83335e+07	 
0.05131	 6.80759e+07	 6.824e+07	 
0.05141	 6.7978e+07	 6.81483e+07	 
0.05151	 6.78821e+07	 6.80584e+07	 
0.05161	 6.77884e+07	 6.79703e+07	 
0.05171	 6.76969e+07	 6.7884e+07	 
0.05181	 6.76076e+07	 6.77996e+07	 
0.05191	 6.75205e+07	 6.77172e+07	 
0.05201	 6.74357e+07	 6.76366e+07	 
0.05211	 6.73533e+07	 6.75581e+07	 
0.05221	 6.72731e+07	 6.74815e+07	 
0.05231	 6.71953e+07	 6.74069e+07	 
0.05241	 6.71199e+07	 6.73344e+07	 
0.05251	 6.70468e+07	 6.72638e+07	 
0.05261	 6.6976e+07	 6.71954e+07	 
0.05271	 6.69077e+07	 6.7129e+07	 
0.05281	 6.68417e+07	 6.70647e+07	 
0.05291	 6.67781e+07	 6.70025e+07	 
0.05301	 6.67169e+07	 6.69424e+07	 
0.05311	 6.6658e+07	 6.68844e+07	 
0.05321	 6.66015e+07	 6.68285e+07	 
0.05331	 6.65474e+07	 6.67747e+07	 
0.05341	 6.64956e+07	 6.6723e+07	 
0.05351	 6.64461e+07	 6.66735e+07	 
0.05361	 6.63989e+07	 6.6626e+07	 
0.05371	 6.63541e+07	 6.65807e+07	 
0.05381	 6.63115e+07	 6.65376e+07	 
0.05391	 6.62712e+07	 6.64965e+07	 
0.05401	 6.62331e+07	 6.64576e+07	 
0.05411	 6.61973e+07	 6.64207e+07	 
0.05421	 6.61637e+07	 6.6386e+07	 
0.05431	 6.61323e+07	 6.63533e+07	 
0.05441	 6.61031e+07	 6.63228e+07	 
0.05451	 6.6076e+07	 6.62943e+07	 
0.05461	 6.6051e+07	 6.62679e+07	 
0.05471	 6.60282e+07	 6.62436e+07	 
0.05481	 6.60075e+07	 6.62213e+07	 
0.05491	 6.59888e+07	 6.62011e+07	 
0.05501	 6.59722e+07	 6.61829e+07	 
0.05511	 6.59576e+07	 6.61668e+07	 
0.05521	 6.59451e+07	 6.61526e+07	 
0.05531	 6.59346e+07	 6.61405e+07	 
0.05541	 6.5926e+07	 6.61304e+07	 
0.05551	 6.59194e+07	 6.61223e+07	 
0.05561	 6.59148e+07	 6.61161e+07	 
0.05571	 6.59121e+07	 6.61119e+07	 
0.05581	 6.59113e+07	 6.61097e+07	 
0.05591	 6.59125e+07	 6.61094e+07	 
0.05601	 6.59155e+07	 6.6111e+07	 
0.05611	 6.59204e+07	 6.61146e+07	 
0.05621	 6.59272e+07	 6.61201e+07	 
0.05631	 6.59358e+07	 6.61275e+07	 
0.05641	 6.59464e+07	 6.61368e+07	 
0.05651	 6.59587e+07	 6.6148e+07	 
0.05661	 6.59729e+07	 6.6161e+07	 
0.05671	 6.59889e+07	 6.61759e+07	 
0.05681	 6.60066e+07	 6.61926e+07	 
0.05691	 6.60262e+07	 6.62111e+07	 
0.05701	 6.60476e+07	 6.62314e+07	 
0.05711	 6.60708e+07	 6.62535e+07	 
0.05721	 6.60957e+07	 6.62774e+07	 
0.05731	 6.61224e+07	 6.6303e+07	 
0.05741	 6.61508e+07	 6.63303e+07	 
0.05751	 6.61809e+07	 6.63593e+07	 
0.05761	 6.62128e+07	 6.639e+07	 
0.05771	 6.62464e+07	 6.64223e+07	 
0.05781	 6.62816e+07	 6.64562e+07	 
